Date,close,high,low,open,volume
2025-01-22,0.7112500071525574,0.7112500071525574,0.449999988079071,0.5325000286102295,19307200.0
2025-01-23,1.59375,2.8687500953674316,1.2637499570846558,1.919999957084656,78078400.0
2025-01-24,1.068750023841858,1.2825000286102295,0.8299999833106995,1.25,4660000.0
2025-01-27,1.1775000095367432,1.2856249809265137,0.8687499761581421,0.949999988079071,3179200.0
2025-01-28,1.8737499713897705,2.2249999046325684,1.0499999523162842,1.0850000381469729,13905600.0
2025-01-29,6.268750190734863,6.268750190734863,1.715499997138977,1.9612499475479128,26735200.0
2025-01-30,4.37624979019165,6.1875,4.06374979019165,5.43625020980835,3834400.0
2025-01-31,3.65625,6.331874847412109,3.125,6.331874847412109,5681600.0
2025-02-03,3.927500009536743,4.341249942779541,3.0,4.159999847412109,1335200.0
2025-02-04,4.568749904632568,5.068124771118164,3.9668750762939458,4.152500152587891,2446400.0
2025-02-05,4.568749904632568,5.125,4.038750171661377,4.635000228881836,780000.0
2025-02-06,4.912499904632568,5.106249809265137,4.302499771118164,4.93625020980835,1220000.0
2025-02-07,5.65625,6.625,4.978750228881836,4.978750228881836,2801600.0
2025-02-10,5.559999942779541,6.431250095367432,5.375,6.199999809265137,1494400.0
2025-02-11,5.167500019073486,5.49875020980835,4.8125,4.887499809265137,474400.0
2025-02-12,5.949999809265137,6.191874980926514,5.09375,5.09375,998400.0
2025-02-13,6.488749980926514,6.875,6.24875020980835,6.24875020980835,768000.0
2025-02-14,5.59375,7.3125,5.5,7.24875020980835,1195200.0
2025-02-18,5.25124979019165,6.176249980926514,5.0,5.871250152587891,569600.0
2025-02-19,5.25,5.6875,5.002500057220459,5.348750114440918,2423200.0
2025-02-20,5.474999904632568,5.621874809265137,5.3125,5.416250228881836,260800.0
2025-02-21,6.25,7.827250003814697,5.752500057220459,5.93625020980835,2108000.0
2025-02-24,8.667499542236328,9.167499542236328,6.4375,7.461249828338623,1411200.0
2025-02-25,6.556250095367432,9.498749732971191,4.375,9.300000190734863,2172800.0
2025-02-26,7.24875020980835,7.739124774932861,6.125,6.99875020980835,759200.0
2025-02-27,8.483750343322754,8.5,6.375,7.987500190734863,786400.0
2025-02-28,8.59000015258789,9.06999969482422,7.625,9.06999969482422,789600.0
2025-03-03,9.602499961853027,10.072500228881836,8.587499618530273,8.944999694824219,687200.0
